index,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,rating,genres,mpaa,description,votes
5910791,tt3659838,movie,The War in the Desert,The War in the Desert,0,2001,\N,55,Documentary,7.1,['documentary'],,"In the summer of 1942, Rommel's Afrika Korps swept across the Western Desert, sending the Allied forces into full retreat. Driven back deep into Egypt, Montgomery's 8th Army dug in along the El Alamein Line, prepared for battle. This factual film portrays the events leading up to and during, one of the greatest battles in the Second World War, the Battle of El Alamein.",9
4610898,tt17079452,movie,Endless Night,Endless Night,0,\N,\N,\N,\N,,,,,
934735,tt0965239,movie,Warna-warna hati,Warna-warna hati,0,1990,\N,\N,\N,,,,,
8232401,tt8826146,movie,Sabhash Vadina,Sabhash Vadina,0,1972,\N,155,Drama,,['drama'],,,
1952869,tt11763190,movie,Green Blackberries,Green Blackberries,0,\N,\N,63,Drama,,['drama'],,"Simple is difficult when you are a village girl who wants an education. Just the journey to school is a huge task. A river stands in her way. Her teacher's political aspirations too may come in the way, So, it's not just the tests in school that she has to pass. How will she fare?",
2543502,tt12850346,movie,Sheltering Season,Sheltering Season,0,2022,\N,\N,"Drama,Thriller",,"['drama', 'thriller']",,,
5422137,tt2502518,movie,Scrapper,Scrapper,0,2013,\N,85,Drama,6.5,['drama'],Not Rated,"Did you know that scrap metal is America's 4th largest export? Well, Hollis Wallace does, and he makes his quiet living trolling the back alleys of Seattle looking for cast-off copper, aluminum and other valuable metals. Hollis uses all the tricks of the metal scrapping trade to earn his living and navigate through a fascinating and rowdy world that few pay any attention to. Hollis's only friend is his ailing mother, and his only drive in life is to collect enough scrap to take care of her. But his routine and isolation are disrupted when he has a strange encounter with teenage runaway Swan in the basement of an unhinged neighbor. They end up forming a scrapping partnership that almost borders on a friendship, before the forces in their lives threaten to destroy their new bond completely. SCRAPPER is a witty drama that stars Michael Beach (Third Watch, Soul Food, Sons of Anarchy) as Hollis, a quiet man with a keen grasp on his trade and no grasp at all on his personal life. Newcomer Anna Giles plays Swan, the train-hopping, dumpster-diving 18 year old who awakens a paternal instinct in Hollis and threatens to change his stubborn antisocial ways. Aidan Gillen (Game Of Thrones, The Wire) plays Ray, an unusual guy with unusual hobbies who doesn't take kindly to Hollis intruding on his life...",272
4451855,tt16447086,movie,Track the Mystery,Track the Mystery,0,2021,\N,\N,Drama,3.4,['drama'],,,6
6860964,tt5804000,movie,Diamond Life,Diamond Life,0,\N,\N,\N,"Action,Crime,Drama",,"['action', 'crime', 'drama', 'thriller']",,,
4244812,tt1595652,movie,Mr. Crumpacker and the Man from the Letter,Mr. Crumpacker and the Man from the Letter,0,\N,\N,\N,Drama,,['drama'],,,
4634099,tt1723699,movie,A Gift for the Village,A Gift for the Village,0,2010,\N,59,"Biography,Documentary",,"['documentary', 'biography']",,"The film tells the story of the long connection between a Blacksburg, Virginia, artist and a prominent Buddhist lama and healer from the culturally Tibetan region of Western Nepal. In June of 2007 a team carried a large and beautiful painting, called a thangka, to a village in the Himalayas, and the village held a festival to celebrate its arrival. The film was made with the blessings of His Holiness the Dalai Lama, and Vance was the first female and westerner to complete such a painting. The film team traveled to sacred sites including a recently discovered Himalayan cave of ancient Buddhist paintings, and documented a traditional way of life that is disappearing with the arrival of roads and electricity to the region.",
4499302,tt1663899,movie,Die Hölle von Barballo,Die Hölle von Barballo,0,1923,\N,\N,\N,,,,,
243592,tt0254329,movie,A Fleeting Passage to the Orient,Ein flüchtiger Zug nach dem Orient,0,1999,\N,82,Documentary,7.1,['documentary'],,"When the camera gazes from the ship towards the horizon of the Mediterranean, the picture of a woman who travelled restlessly across the world takes shape. Elisabeth, Empress of Austria, gradually disappears out of the picture as it were: from the age of 30 she refused to be photographed any more.",62
3383400,tt1437817,movie,Ellam Unnakkaga,Ellam Unnakkaga,0,1961,\N,\N,\N,4.3,,,,6
1693548,tt11299466,movie,Nirbhau Nirvair,Nirbhau Nirvair,0,\N,\N,\N,Drama,,['drama'],,,
2618641,tt1298831,movie,The Blonde with Bare Breasts,La blonde aux seins nus,0,2010,\N,100,"Adventure,Drama,Romance",5.9,"['adventure', 'drama', 'romance']",,"The two brothers Julien (Nicolas Duvauchelle) and Louis (Steve Le Roi) work on their father's steel barge, which he won't let them inherit. To keep the boat, they resort to stealing a painting, ""La Blonde aux Seins Nus"". Unfortunately, a museum guard, Rosalie (Vahina Giocante), catches them and gets locked up in the boat. As the steel barge makes its way up the Seine, the brothers develop two different relationships with Rosalie.",641
3072982,tt1381833,movie,Mortis Rex,Mortis Rex,0,\N,\N,\N,\N,,,,,
21617,tt0021965,movie,Hobson's Choice,Hobson's Choice,0,1931,\N,65,"Comedy,Drama,Romance",6.6,"['comedy', 'drama', 'romance']",,"Henry Hobson runs a successful boot-maker's shop in nineteenth-century Salford. A widower with a weakness for the pub opposite, he tries forcefully to run the lives of his three unruly daughters. When he decrees 'no marriages' to avoid the expensive matter of settlements, eldest daughter Maggie rebels and sets her sights on Will Mossop, Hobson's star boot-maker. Maggie and Will leave to start up in competition, and she then turns her mind to helping her sisters marry their chosen partners.",25
21384,tt0021727,movie,Caçada às Raposas,Caçada às Raposas,0,1931,\N,\N,Documentary,,['documentary'],,,
190014,tt0197554,movie,Les hommes de la côte,Les hommes de la côte,0,1934,\N,69,"Comedy,Drama",,"['comedy', 'drama']",,"A village in Brittany is the victim of the exactions of a fearsome gang of thieves who plunder lobster traps. Saïk, a nice young fisherman, engaged to Janick, the mayor's daughter, is unjustly accused of being one of the robbers by a Gypsy woman who loves him but has been rejected by him. The real culprits will eventually be unmasked.",
5760475,tt3310064,movie,Der Tropfen - Ein Roadmovie,Der Tropfen - Ein Roadmovie,0,2014,\N,111,"Crime,Drama",3.4,"['crime', 'drama']",,,10
196897,tt0205046,movie,Estelle et Flora,Estelle et Flora,0,1979,\N,\N,\N,4.3,,,,14
6720221,tt5484004,movie,Operation XYZ,Operation XYZ,0,1966,\N,\N,Action,,['action'],,,
17731,tt0017989,movie,Hey! Hey! Cowboy,Hey! Hey! Cowboy,0,1927,\N,60,"Comedy,Western",,"['comedy', 'western']",,,
99545,tt0101809,movie,Eminent Domain,Eminent Domain,0,1990,\N,106,"Drama,Thriller",5.9,"['drama', 'thriller']",PG-13,,435
5598184,tt2925768,movie,Ned Rifle,Ned Rifle,0,2014,\N,85,Drama,6.2,['drama'],Unrated,"NED RIFLE is the third and final chapter of Hal Hartley's tragicomic epic begun with HENRY FOOL (1997, TIFF) and continued with FAY GRIM (2007). At once a saga concerning the Grim family of Queens and how their lives are turned upside down by the arrival of the self-proclaimed genius Henry Fool, the trilogy is also an illustration of America's grappling with ideas, art, politics, and religion over the course of 20 years. In this swiftly paced and expansive conclusion, Henry and Fay's son Ned sets out to find and kill his father for destroying his mother's life. But his aims are frustrated by the troublesome, sexy and hilarious Susan, whose connection to Henry predates even his arrival in the lives of the Grim family.",1516
5292730,tt2303074,movie,Hope for Love,Hope for Love,0,2013,\N,80,Drama,4.4,['drama'],Not Rated,,61
7912560,tt8125842,movie,Blindsone,Blindsone,0,2018,\N,98,Drama,7.1,['drama'],,,1002
6369204,tt4691502,movie,Sekiguchi Yatarô,Sekiguchi Yatarô,0,1923,\N,\N,\N,,,,,
419684,tt0437217,movie,Headhunter,Headhunter,0,2005,\N,88,"Horror,Thriller",4.5,"['thriller', 'horror']",R,"Ambitious young go-getter Ben Caruso signs on with sexy corporate headhunter Sarah Tierney. Sarah gets Ben a new job with great pay working the graveyard shift. However, Ben soon discovers that Sarah is a witch and his coworkers are the tormented souls of Sarah's previous conquests. If Ben doesn't find a missing head in a few days, he's in danger of losing his own.",420
6474276,tt4930358,movie,Dear Thalia,Dear Thalia,0,2016,\N,90,Documentary,,['documentary'],,,
375200,tt0391512,movie,Underestimating Jake,Underestimating Jake,0,2001,\N,71,Drama,8.1,['drama'],,,11
44833,tt0045633,movie,Clipped Wings,Clipped Wings,0,1953,\N,65,"Comedy,Family",6.2,"['comedy', 'family']",Approved,"Slip and Sach to go the local Air Force base to find out why their friend, an Air Force enlisted man, is in the stockade and charged with treason. Mistaking a recruiting office for a visitors office, they inadvertently enlist in the Air Force. They soon learn that not only is their friend not a traitor, but he is being used as bait to expose a spy ring. The boys decide to do a little exposing of their own, and wind up almost gumming up the works.",285
7828863,tt7945236,movie,The Prince,El Príncipe,0,2019,\N,96,Drama,6.4,['drama'],Unrated,"Chile 1970, just before the elections bringing Allende to power: Jaime, a narcissistic 20 year old, kills out of jealousy a guy known as The Gypsy, his till-then best friend. In prison he has a definitive encounter with ""the Stallion"", an older man who inspires respect and holds the power behind bars. Searching for protection, Jaime develops with the man a relationship of affection and tenderness, discovers love and the need to be recognized, and later, becoming ""The Prince"", finally rethink his sexual identity, and the reason for the crime that took him to prison.",1304
5635629,tt3017010,movie,Watch Them Fall,Watch Them Fall,0,2016,\N,90,"Drama,Thriller",5.9,"['drama', 'thriller']",,"Marti is a famous war photographer, but he was badly wounded during his last working trip to Syria and, after that, he is no longer the same. He suffers from severe depression, he's addicted to drug and his marriage is getting ruined. In order to get through his personal crisis Marti decides to undergo a session of shamanic hypnosis. The apparently innocuous technique opens the door to a world of hallucinations and violence where errors and mistakes of the past risk to destroy Marti's life. Set in a dark and gloomy New York, 'Watch them fall' is the story of a man who tries to redeem himself from his past sins even if it could mean to lose everything, also his own life.",22
6899684,tt5891746,movie,Janma,Janma,0,2011,\N,\N,Family,8.2,['family'],,,6
182857,tt0189886,movie,Paixão e Sombras,Paixão e Sombras,0,1977,\N,98,Drama,6.8,['drama'],,,26
266549,tt0278379,movie,"Le café Saint-Pierre, une nuit","Le café Saint-Pierre, une nuit",0,1984,\N,\N,Documentary,,['documentary'],,,
440984,tt0459116,movie,Going Private,Nachbeben,0,2006,\N,96,Drama,6.6,['drama'],,"Investment banker HP has allegedly ridden out the crash of the stock exchange. One evening, at a barbecue event with his banker friends and their wives, HP's Danish au-pair threatens to blow the whistle on her love affair with HP's married boss. HP wants to please everybody. But the next morning, he has lost everything: his house, his wife, his friends, and his job - NACHBEBEN is an intimate play which examines how neo-liberal principals force their way into the most private of spheres, namely those of the family and of friendships. NACHBEBEN is a film about men that have been trained to poker, spy and speculate in an economic world. It is also a film about women that are expected to accept this but in the end decide not to. It is astonishing to note that although banks and large corporations represent the largest employment sector of modern-day Switzerland, NACHBEBEN is the first Swiss film which deals in depth with the people of this socio-economic environment. And although affluence and materialism appear to be ubiquitous in Switzerland, no national film to date has illustrated the human price which these traits ultimately demand.",145
6476829,tt4936544,movie,Dancing Betweeen the Raindrops,Dancing Betweeen the Raindrops,0,\N,\N,\N,Horror,,['horror'],,,
39013,tt0039694,movie,The Paradine Case,The Paradine Case,0,1947,\N,125,"Crime,Drama,Romance",6.5,"['crime', 'drama', 'romance', 'thriller']",Approved,"Following a short investigation, the London Police charge Maddalena Paradine with the poisoning murder of her older, blind husband, retired Colonel Richard Paradine, who was dependent on her and others to manage in his life due to his physical disability. She is up front about being a woman with a past, she only becoming wealthy and thus glamorous because of the marriage. Her personal solicitor Sir Simon Flaquer refers the case to his colleague Tony Keane. In spending time with Mrs. Paradise in prison, Tony is immediately attracted to her, that attraction which morphs into obsession. As such, Tony does whatever he can to clear her of the charges, either in mounting a defense of suicide, assisted or not, or that someone else killed him, the most likely candidate being the Colonel's trusted valet, Andre Latour, with who Tony initially believes Mrs. Paradise was having an affair. In the process, Tony may be blinded to the evidence as it presents itself. Who can see what is going on is Tony's wife Gay Keane, who not only believes their marriage has been a perfect one up to this point, but that he truly does believe his obsession with Mrs. Paradine being love, which Gay herself does not believe it to be. Gay can only stand by and hope for a specific verdict in the case so that Tony can return to her wholeheartedly without the specter of Mrs. Paradine hanging over their marriage.",11100
5959779,tt3772298,movie,Srithanonchai 555+,Srithanonchai 555+,0,2014,\N,\N,Comedy,3.6,['comedy'],,,6
5391901,tt2428672,movie,Midway,Midway,0,2013,\N,85,"Documentary,Family",7.4,"['documentary', 'family']",,"Using spare narration and stunning imagery, Midway focuses on the plight of the Laysan Albatross plagued by the ingestion of our plastic trash. Both elegy and warning, the film explores the interconnectedness of species, with the albatross on Midway as a mirror of our humanity.",49
7417811,tt7049272,movie,Above the Clouds,Above the Clouds,0,2018,\N,87,Comedy,5.4,['comedy'],,"When headstrong Charlie discovers her parents have been keeping her biological father secret from her, she does what any 18-year old would do - recruits a rough sleeper to be her 'responsible adult' and sets off for Scotland on her provisional driving licence to go and find him.",139
119173,tt0122279,movie,Tag til marked i Fjordby,Tag til marked i Fjordby,0,1957,\N,94,"Comedy,Crime,Family",6.0,"['comedy', 'crime', 'family', 'romance']",,,101
7805212,tt7893714,movie,"Marilyn, the Red Diary","Marilyn, the Red Diary",0,\N,\N,\N,Drama,,['drama'],,,
6367818,tt4688518,movie,Nine Seconds,Nine Seconds,0,2017,\N,\N,Drama,8.8,['drama'],,,11
6563829,tt5132616,movie,Colors of Bahrain,Colors of Bahrain,0,2015,\N,53,Drama,,['drama'],,,
7179504,tt6518270,movie,An Evening with Beverly Luff Linn,An Evening with Beverly Luff Linn,0,2018,\N,108,"Comedy,Crime",5.8,"['comedy', 'crime']",R,,5477
176751,tt0183314,movie,Le jour du frotteur,Le jour du frotteur,0,1932,\N,\N,Documentary,,['documentary'],,,
5304032,tt2315582,movie,Una,Una,0,2016,\N,94,Drama,6.2,['drama'],R,"When a young woman unexpectedly arrives at her much-older former lover's workplace, looking for answers, the secrets of their dark past threaten to unravel his new life. What follows is an emotional and unflinching excavation of inappropriate love, with shattering consequences.",10507
6614344,tt5247704,movie,Back to Burgundy,Ce qui nous lie,0,2017,\N,113,"Comedy,Drama",6.8,"['comedy', 'drama']",,"Three siblings reunite at their home in picturesque Burgundy to save the family vineyard in this tender tale of a new generation finding its own unique blend from acclaimed director Cédric Klapisch (L'Auberge Espagnole). Jean (Pio Marmai), the black sheep of the family, unexpectedly returns home from a decade abroad to reconnect with his hospitalized father. He's welcomed by his strong-willed sister, Juliette (Ana Girardot), who took over the reins of the vineyard after their father fell ill, and Jeremie (Francois Civil), the youngest of the three who has recently married into one of the region's more prestigious wine families. Their father passes shortly after Jean's return, leaving them with the estate and a looming inheritance tax of half a million dollars. As four seasons and two harvests go by, Jean, Juliette, and Jeremie have to learn to reinvent their relationship and trust in each other as they work to preserve the land that ties them together.",4594
983857,tt10028410,movie,L'empreinte de la patrie,L'empreinte de la patrie,0,1915,\N,51,"Drama,War",4.9,"['drama', 'war']",,"The intersection of multiple realities will be a little too late. A general considers his son to be a deserter since there is no other option for him but to serve in the German army because of naturalization. Until the last moment, the son continues to oppose the German army, unfortunately without the father knowing.",8
2118223,tt12060272,movie,Jiang Jun De Wei Shi,Jiang Jun De Wei Shi,0,2020,\N,\N,Documentary,,['documentary'],,,
4905996,tt1886680,movie,Chicks Dig Gay Guys,Chicks Dig Gay Guys,0,2014,\N,83,Comedy,3.5,['comedy'],Not Rated,,357
261347,tt0272916,movie,O Varão de Ipanema,O Varão de Ipanema,0,1976,\N,96,Comedy,,['comedy'],,,
7146325,tt6444956,movie,The Life We Have Chosen,The Life We Have Chosen,0,2017,\N,70,"Comedy,Drama",,"['comedy', 'drama']",,,
4684636,tt17506778,movie,Cheating in the Next Room,Cheating in the Next Room,0,2021,\N,\N,Drama,,['drama'],,"Church, sex, greed and redemption are not the usual words you would find to describe grace but this is no ordinary church story. However, in this film love and loyalty have become tainted by lust, greed, and deeply ingrained secrets. ""Cheating in the Next Room"" is a provocative drama that uncovers truths that are usually held under the covers of the pulpit. This telling story dives deep between the sheets and then some. Going where most Christian films won't ""Cheating in the Next Room"" shows the redemption story after falling deep in sin.",
2060916,tt11956168,movie,Yaji Kita chin dôchû Nakasendô no maki,Yaji Kita chin dôchû Nakasendô no maki,0,1960,\N,84,Comedy,,['comedy'],,,
393606,tt0410454,movie,The Work and the Glory,The Work and the Glory,0,2004,\N,118,"Drama,Romance",6.5,"['romance', 'drama']",PG,"Recently moved to upstate New York from the comfort of their Vermont homestead, the Benjamin Steed family makes their way into the established social structure of Palmyra. In their attempt to settle peacefully into the new community, they discover that the help they have hired to clear their land is at the center of a religious controversy - a controversy that threatens to tear the family apart. As two of the Steed brothers contend for the favor of a wealthy merchant's daughter, they find themselves on opposite sides of the religious question. Although the family struggles to smooth the contention, they soon face deeper issues of family loyalty and the pursuit of truth.",1124
5529656,tt2763278,movie,Escape the Day,Escape the Day,0,2019,\N,\N,Drama,,['drama'],,"ESCAPE THE DAY is an imaginative love story told in snapshots that highlights a dynamic relationship by revealing the exciting and tragic ending before exploring the beginnings of the relationship from both partner's perspectives. The world of Escape the Day is a realistic representation of modern life, with an anachronistic sensibility that is somewhat self-aware. The opening scenes in the woods are dark and chaotic, and there is a distinct contrast between that and the rest of the film, which is light, but just as chaotic. The film focuses almost exclusively on the couple. That personal sense of adventure inundates the world of the film with human energy.",
247688,tt0258598,movie,Ftohoula kai to vasilopoulo,Ftohoula kai to vasilopoulo,0,1960,\N,88,"Comedy,Romance",,"['comedy', 'romance']",,,
3608407,tt1478859,movie,The Toledo Conspiracy,The Toledo Conspiracy,0,1998,\N,80,Sci-Fi,,['sci-fi'],,"Eddie Linda and Jimmy stumble into a back alley exchange and a world of problems. What they steal defies all logic, reasoning and leads them into a years old massacre, a government conspiracy, a made man, a glitzy preacher and a transvestite with a song. Eddie, Linda and Jimmy and use their spectacularly average intelligence and cavalier attitudes about life to untangle the web they have spun for themselves to its unavoidable end.",
1506806,tt10964752,movie,China vs. Argentina,China vs. Argentina,0,1996,\N,\N,Reality-TV,,['reality-tv'],,,
3139307,tt13937232,movie,Self Quarantined,Self Quarantined,0,2022,\N,90,"Sci-Fi,Thriller",,"['sci-fi', 'thriller']",,"Three women dealing with social isolation resulting from a worldwide pandemic and trauma in their personal lives decide to get away from it all and go on a mountain retreat together. While reconnecting and recharging their energy, inexplicable things begin to happen in and around their rental house, challenging their grips on reality.",
4707997,tt17609274,movie,End to End,End to End,0,\N,\N,\N,Documentary,,['documentary'],,,
19200,tt0019483,movie,Tommy Atkins,Tommy Atkins,0,1928,\N,80,"Action,Drama,Romance",6.0,"['action', 'drama', 'romance', 'war']",Passed,,7
4109635,tt1570357,movie,Game of the Year,Game of the Year,0,2009,\N,90,Comedy,6.9,['comedy'],,"A new reality show, GAME OF THE YEAR, is looking for the greatest warriors of role-play gaming to award the most epic bounty a gamer can imagine, running a game company for an entire year! Only one group in the country can win it all, so when Richard and his lifelong friends and fellow gamers decide to heed the call, they agree to have their lives filmed prior to the auditions to better exemplify to the show's producers just how mighty their skills and solidarity truly are. But as the documentary keeps filming, cracks in the group's armor begin to show. Like John's fights with his wife over the game. And Kyle's constant hope that his girlfriend never finds out what really happens at his weekly ""poker game"". And Mark's shy geekery. And Billy... being Billy. When Richard and Shawn end up at odds over the affections of Jennifer, the sound girl on the documentary, tensions finally snap and the group finds itself battling something more frightening than any tabletop orc or wizard: each other. Can our heroes get it together before the big audition at the local gaming convention, or will they suffer a critical fail that will end their friendships forever?",10
3022830,tt13727756,movie,I would like somebody to wait for me somewhere,I would like somebody to wait for me somewhere,0,\N,\N,\N,Drama,,['drama'],,,
16455,tt0016704,movie,A Calúnia,A Calúnia,0,1926,\N,85,"Drama,Romance",,"['drama', 'romance']",,,
2592334,tt12940728,movie,Untitled Kenya Barris/Netflix Project,Untitled Kenya Barris/Netflix Project,0,\N,\N,\N,Documentary,,['documentary'],,,
410581,tt0427858,movie,Shyam Ki Jogan,Shyam Ki Jogan,0,1957,\N,\N,\N,,,,,
4367894,tt1628037,movie,Cocked and Loaded,Cocked and Loaded,0,\N,\N,\N,Action,,['action'],,,
7899328,tt8097234,movie,Angels with Misplaced Wings,Angels with Misplaced Wings,0,\N,\N,\N,Documentary,,['documentary'],,,
136482,tt0140619,movie,Tiburón,Tiburón,0,1933,\N,\N,"Comedy,Drama",,"['comedy', 'drama']",,,
2540684,tt12845210,movie,Only Men,Mono andres,0,2019,\N,70,\N,,,,,
113851,tt0116509,movie,L'hebdo,L'hebdo,0,1996,\N,\N,Documentary,,['documentary'],,,
5211078,tt2210830,movie,Twiharder,Twiharder,0,2013,\N,\N,Comedy,4.9,['comedy'],,,29
3254463,tt1414464,movie,Genkai in a Black Company,"Burakku gaisha ni tsutometerundaga, mou ore wa genkaikamo shirenai",0,2009,\N,104,Comedy,5.6,['comedy'],,"A young man joins a company to be a programmer. But he realizes that the office atmosphere is very strange. The group leader is imperious and despotic, others are indifferent, over fatigue, or sleek sophisticated. And the young man is compelled to become a slave to work.",71
2437416,tt1265172,movie,Terpesona,Terpesona,0,1966,\N,\N,\N,,,,,
7484052,tt7195382,movie,Vinayapoorvam Vidyadharan,Vinayapoorvam Vidyadharan,0,2000,\N,127,Drama,4.2,['drama'],,,10
4615956,tt1712067,movie,Hair of the Dog,Hair of the Dog,0,\N,\N,\N,Comedy,,['comedy'],,,
318706,tt0332743,movie,Salomé,Salomé,0,2002,\N,85,Musical,7.0,['musical'],PG-13,"The story of Salomé told as one of extreme love and vengeance. A director prepares a troupe of flamenco dancers for a performance. He summarizes the story and describes his spring for the drama's action: Salomé's attraction to John the Baptist. When the prophet rejects her, she seeks revenge. We meet the principals. We watch rehearsals, a dress rehearsal, and then the performance. The movie is both about the performance and about preparation for performance.",441
4302671,tt16101924,movie,Lethal Weapon 5,Lethal Weapon 5,0,\N,\N,\N,"Action,Thriller",,"['action', 'thriller']",,,
4936813,tt1918806,movie,Entrance,Entrance,0,2012,\N,83,"Drama,Horror,Thriller",4.7,"['drama', 'horror', 'thriller']",Not Rated,,941
9678,tt0009811,movie,Wild Women,Wild Women,0,1918,\N,50,Western,4.6,['western'],Passed,"Cheyenne Harry and his pals, bent on helping their friend Rawhide Jack, attend a rodeo with the intent to win the prize and to hand the winnings over to Jack. Harry is the successful winner and after the rodeo the boys get drunk and fall asleep.",46
4867280,tt1846479,movie,Black Box,Avarice,0,2012,\N,83,Sci-Fi,3.3,['sci-fi'],R,"Inside a mysterious black box lies the secret to one's desires. As the black box changes hands, each new owner must resist what they covet most or prepare to defend their salacious greed against an immortal assassin. As several lives collide, can they escape the wrath of avarice and the black box?",212
3511879,tt14611588,movie,Desert Drifters,Desert Drifters,0,2016,\N,88,Drama,,['drama'],,,
6896329,tt5884142,movie,Cleo,Cleo,0,2019,\N,99,"Adventure,Comedy,Drama",6.5,"['adventure', 'comedy', 'drama', 'fantasy', 'sci-fi']",,,555
31411,tt0031974,movie,The Star Maker,The Star Maker,0,1939,\N,94,"Biography,Comedy,Music",5.9,"['biography', 'comedy', 'music']",Approved,"A penniless song writer, Larry Earl, is convinced he is going places in shown business, and convinces Mary, an assistant at an orphanage, to marry him. Fifteen months later they are still in love, but broke as Larry writes songs that won't sell and loses one job after another one. He stops to watch a group of newsboys singing and dancing, and decides to organize them into the greatest kid act to ever hit vaudeville. Mary persuades Proctor, a big theatrical manager, to book the act, and they are a big hit. Then Larry and his publicity agent, ""Speed"" King, launch a big publicity stunt---a talent train in which they travel across country holding auditions for young performers. Back in New York, Carlotta Salvini, an ex-Opera singer, brings in her talented fourteen-year-old-daughter, Jane, who has an amazing voice. Larry, to get the mother out of the way, offers Carlotta a forty-week vaudeville tour, and then goes to work to make a star out of Jane, by building Broadway's first all-kiddie musical revue around her. Opening night has ""School Days"" as the first act and the show and Jane are a big hit...until the Gerry Society, organized to protect working children, reminds Larry there is a law against children working after 10 pm, and the show closes. Larry's future appears dim at best.",96
1724502,tt11354970,movie,Rainy in Glenageary,Rainy in Glenageary,0,2019,\N,95,Drama,,['drama'],,"Raonaid Murray was an Irish murder victim, stabbed to death at the age of 17 in the early hours of Saturday morning, 4 September 1999. She was known to some friends as 'Rainy'. Twenty years later, nobody has been charged with her killing and the crime remains unsolved. This unique film transcends being a true crime documentary, instead depicting the killing and subsequent investigation in the form of a giant illustration. The filmmakers spoke in detail with a number of retired police who worked on the case and also with close friends of the victim - although absolutely no talking heads appear in the film, which maintains one illustrated aesthetic throughout.",
